colour	key	clickSelects	showSelected2	fill	group
#C49A00	Andorra	Andorra	Europe & Central Asia	#C49A00	1
#00C094	United Arab Emirates	United Arab Emirates	Middle East & North Africa	#00C094	2
#A58AFF	Afghanistan	Afghanistan	South Asia	#A58AFF	3
#53B400	Antigua and Barbuda	Antigua and Barbuda	Latin America & Caribbean	#53B400	4
#C49A00	Albania	Albania	Europe & Central Asia	#C49A00	5
#C49A00	Armenia	Armenia	Europe & Central Asia	#C49A00	6
#FB61D7	Angola	Angola	Sub-Saharan Africa	#FB61D7	7
#53B400	Argentina	Argentina	Latin America & Caribbean	#53B400	8
#F8766D	American Samoa	American Samoa	East Asia & Pacific	#F8766D	9
#C49A00	Austria	Austria	Europe & Central Asia	#C49A00	10
#F8766D	Australia	Australia	East Asia & Pacific	#F8766D	11
#53B400	Aruba	Aruba	Latin America & Caribbean	#53B400	12
#C49A00	Azerbaijan	Azerbaijan	Europe & Central Asia	#C49A00	13
#C49A00	Bosnia and Herzegovina	Bosnia and Herzegovina	Europe & Central Asia	#C49A00	14
#53B400	Barbados	Barbados	Latin America & Caribbean	#53B400	15
#A58AFF	Bangladesh	Bangladesh	South Asia	#A58AFF	16
#C49A00	Belgium	Belgium	Europe & Central Asia	#C49A00	17
#FB61D7	Burkina Faso	Burkina Faso	Sub-Saharan Africa	#FB61D7	18
#C49A00	Bulgaria	Bulgaria	Europe & Central Asia	#C49A00	19
#00C094	Bahrain	Bahrain	Middle East & North Africa	#00C094	20
#FB61D7	Burundi	Burundi	Sub-Saharan Africa	#FB61D7	21
#FB61D7	Benin	Benin	Sub-Saharan Africa	#FB61D7	22
#00B6EB	Bermuda	Bermuda	North America	#00B6EB	23
#F8766D	Brunei Darussalam	Brunei Darussalam	East Asia & Pacific	#F8766D	24
#53B400	Bolivia	Bolivia	Latin America & Caribbean	#53B400	25
#53B400	Brazil	Brazil	Latin America & Caribbean	#53B400	26
#53B400	Bahamas, The	Bahamas, The	Latin America & Caribbean	#53B400	27
#A58AFF	Bhutan	Bhutan	South Asia	#A58AFF	28
#FB61D7	Botswana	Botswana	Sub-Saharan Africa	#FB61D7	29
#C49A00	Belarus	Belarus	Europe & Central Asia	#C49A00	30
#53B400	Belize	Belize	Latin America & Caribbean	#53B400	31
#00B6EB	Canada	Canada	North America	#00B6EB	32
#FB61D7	Congo, Dem. Rep.	Congo, Dem. Rep.	Sub-Saharan Africa	#FB61D7	33
#FB61D7	Central African Republic	Central African Republic	Sub-Saharan Africa	#FB61D7	34
#FB61D7	Congo, Rep.	Congo, Rep.	Sub-Saharan Africa	#FB61D7	35
